;;;;;;
description-module-modifierdecelerating;;Changes the color of a current.$p$Adds $b$$MODIFICATIONVALUE$$/b$ $energy$ to the current.;改变能量流的颜色。$p$为能量流增加$b$$MODIFICATIONVALUE$$/b$$energy$。;電流の色を変更します。$p$電流に $b$$MODIFICATIONVALUE$$/b$ $energy$ を追加します。;전류의 색상을 변화시킵니다.$p$전류에 $b$$MODIFICATIONVALUE$$/b$ $energy$를 추가합니다.;
description-module-modifierplasmacombustion;;Adds $b$$MODIFICATIONVALUE$$/b$ $energy$ to the current.;为能量流增加$b$$MODIFICATIONVALUE$$/b$$energy$。;電流に $b$$MODIFICATIONVALUE$$/b$ $energy$ を追加します。;$b$$MODIFICATIONVALUE$$/b$ $energy$를 추가로 획득합니다.;
description-module-passivegeneratorroll;;$generator$ modules on this rack have a $b$33% chance$/b$ of generating $b$+1$/b$ $energy$.;此模架上的$generator$模块有$b$33%几率$/b$额外产出$b$+1$/b$$energy$。;このラックの $generator$ モジュールは $b$33%$/b$ の確率で $b$+1$/b$ $energy$ を生成します。;이 랙의 $generator$ 모듈은 $b$33%의 확률$/b$로 $b$+1$/b$ $energy$를 추가로 생성합니다.;
description-module-passivemedikit;;Heals the owner by $1$ HP at the beginning of each battle.;每场战斗前治疗拥有者$1$的生命值。;戦闘の開始時に所有者を $1$ HP 回復します。;각 전투가 시작될 때마다 소유자의 체력을 $1$ 치유합니다.;
description-module-splitter;;Duplicates a current.;复制一股能量流。;電流を複製します。;전류를 복제합니다.;
description-module-storagecell;;Can be discharged for$br$$b$$CHARGEVALUE$$/b$ $energy$.;可释放$br$$b$$CHARGEVALUE$$/b$$energy$。;$b$$CHARGEVALUE$$/b$ $energy$ を放電できます。;$b$$CHARGEVALUE$$/b$ $energy$를$br$방전시킬 수 있습니다.;
description-module-storagecellreplicating;;Can be discharged for$br$$b$$CHARGEVALUE$$/b$ $energy$.;可释放$br$$b$$CHARGEVALUE$$/b$$energy$。;$b$$CHARGEVALUE$$/b$ $energy$ を放電できます。;$b$$CHARGEVALUE$$/b$ $energy$를$br$방전시킬 수 있습니다.;
description-module-storagecellselfcharging;;Is charged with $1$ $energy$ at the end of combat.;在战斗结束后获得$1$$energy$充能。;戦闘終了時に $1$ $energy$ が充電されます。;전투 종료 시 $1$ $energy$가 충전됩니다.;
description-module-timebomb;;Will explode in $b$$TIMETOTURN$$/b$ time steps and deal $b$$INVERSECHARGEVALUE$$/b$ $damage$ to both heroes.$br$(Reduce effect with $energy$).;在$b$$TIMETOTURN$$/b$个时间步长后爆炸，对两名角色均造成$b$$INVERSECHARGEVALUE$$/b$$damage$。$br$（$energy$可降低伤害）。;$b$$TIMETOTURN$$/b$ ターン後に爆発し、両者のヒーローに $b$$INVERSECHARGEVALUE$$/b$ $damage$ を与えます。$br$（$energy$ で効果を減らす）。;$b$$TIMETOTURN$$/b$ 시간 단계 후에 폭발하며, 두 주인공에게 $b$$INVERSECHARGEVALUE$$/b$ $damage$를 줍니다.$br$($energy$로 효과 감소).;
description-module-toggledbooster-eot;;Applies $boost$ to all $passthroughmodule$s on this rack until the end of turn.;为本模架上的所有$passthroughmodule$施加$boost$，直到回合结束。;ターン終了まで、このラックのすべてのタイプ$passthroughmodule$のモジュールに$boost$を適用します。;턴 종료 전까지 이 랙의 모든 $passthroughmodule$에게 $boost$를 적용합니다.;
description-module-toggledcrustremover;;Removes $crust$ from all modules on this rack.;移除模架上所有模块的$crust$。;このラックのすべてのモジュールから $crust$ を削除します。;이 랙의 모든 모듈에게서 $crust$를 제거합니다.;
description-module-toggleddurabilityenhancer;;Permanently removes $overload$ from a module on this rack$br$- or -$br$permanently removes $malfunctioning$ from a module on this rack and replaces it with $overload$.;永久移除选定模块的$overload$$br$-或者-$br$将选定模块的$malfunctioning$永久替换为$overload$。;このラックのモジュールから$overload$を永久に削除します$br$- または -$br$このラックのモジュールから$malfunctioning$を永久に削除し、$overload$に置き換えます。;이 랙의 모듈에서 $overload$ 상태를 영구적으로 제거합니다$br$- 또는 -$br$이 랙의 모듈에서 $malfunctioning$ 상태를 영구적으로 제거하고 $overload$로 대체합니다.;
description-module-toggledgrenadegravnullifier;;Removes all $grav$ from all combatants.;移除所有参战单位的$grav$。;すべての戦闘参加者からすべての $grav$ を削除します。;모든 전투원이 지닌 모든 $grav$를 제거합니다.;
description-module-toggledgrenadevulnerability;;Applies $vulnerable$ to all enemies and player characters. (Duration: 6);为所有敌人及己方角色施加$vulnerable$。（持续时间：6）;すべての戦闘参加者に$vulnerable$を適用します。（持続時間：6）;모든 적과 플레이어 캐릭터에게 $vulnerable$을 적용합니다.(지속시간: 6);
description-module-toggledmaxhpenhancer;;Permanently increases the character's max. HP by $1$ and heals them by $1$.;永久提升角色最大生命值$1$，并治疗$1$生命值。;キャラクターの最大 HP を $1$ 増加させ、$1$ 回復します。;캐릭터의 최대 체력을 영구적으로 $1$ 증가시키고 $1$ 치유합니다.;
description-module-toggledupgrader;;Applies a permanent $upgrade$ to target $passthroughmodule$ on this rack.$p$$passthroughmodule$s can only have one $upgrade$.;为目标$passthroughmodule$施加永久$upgrade$。$p$每个$passthroughmodule$仅可拥有一个$upgrade$。;このラックのタイプ$passthroughmodule$のモジュールに恒久的な$upgrade$を適用します。モジュールには1つのアップグレードしかできません。;이 랙의 대상 $passthroughmodule$에게 영구적인 $upgrade$을 적용합니다.$p$$passthroughmodule$은 한번만 $upgrade$될 수 있습니다.;
description-module-trashcompactor;;Destroys another target module on this rack to generate $2$ $energy$.;销毁模架上另一自选模块，以换取$2$$energy$。;別のターゲットモジュールを破壊して $2$ $energy$ を生成します。;이 랙의 다른 대상 모듈을 파괴해 $2$ $energy$를 생성합니다.;
description-module-vaultregeneration;;Can be charged.$p$At the beginning of the owner's turn, remove $1$ stored $energy$ to heal all player characters by $1$.;可充能。$p$拥有者回合开始时，消耗$1$储存$energy$，治疗所有角色$1$生命值。;充電可能。$p$所有者のターンの開始時に、$1$ の蓄積された $energy$ を取り除き、全てのプレイヤーキャラクターを $1$ 回復します。;충전할 수 있습니다.$p$소유자의 턴 시작 시, 저장된 $energy$를 $1$ 제거해 모든 플레이어 캐릭터를 $1$ 치유합니다.;
description-module-vaultshield;;Can be charged.$p$Whenever the owner receives $damage$, remove $1$ stored $energy$ to reduce that damage by $1$.;可充能。$p$拥有者受到$damage$时，消耗$1$储存$energy$，减少拥有者$1$所受伤害。;充電可能。$p$所有者が $damage$ を受けるたびに、$1$ の蓄積された $energy$ を取り除き、そのダメージを $1$ 軽減します。;충전할 수 있습니다.$p$소유자가 $damage$를 입을 때마다, 저장된 $energy$를 $1$ 제거해 피해량을 $1$ 감소시킵니다.;
description-naturaldisaster-gravequilibrium;;A permanent storm that circles the surface of the earth. It levels local imbalances of $grav$.;环绕地表的永久性风暴。能够平衡战场失调的$grav$。;地球の表面を巡回する永久的な嵐。それは、$grav$の局所的な不均衡を調整します。;지면을 계속해서 맴돌고 있는 멈추지 않는 폭풍. 해당 지역의 $grav$를 평준화시킵니다.;
description-naturaldisaster-gravimpulse;;A burst of $grav+$ that is reverberating off the cavern walls.;一道在洞穴墙壁上不断反射的$grav+$。;洞窟の壁から反響する$grav+$の爆発。;동굴 벽을 타고 $grav+$ 파열음이 울려퍼지고 있습니다.;
description-naturaldisaster-lightningstrike;;;;;;
description-naturaldisaster-storm;;;;;;
description-playercharacter-kimmy;;A prodigy gravineer, there is nothing in the camp Kimmy can't fix.;作为引力方面的天才，营地里没有什么事是吉米解决不了的。;天才の重力工学者、キミーはキャンプ内の何も修理できません。;천재 중력학자, 이 야영지에서 키미가 고칠 수 없는 건 없습니다.;
description-playercharacter-nanaslopper;;She might be over 80, but don't under-estimate her power as a caregiver.;虽然她已经年过80，但不要小看她的护理能力。;彼女は80歳を超えているかもしれませんが、介護者としての彼女の力を過小評価しないでください。;이미 80을 넘은 나이지만, 양육자로서 그녀의 힘을 무시해서는 안됩니다.;
description-playercharacter-slopperjackson;;He's the youngest of the Slopper brothers, but he outruns all of them.;他是斯洛普兄弟中最年轻的一位，也是速度最快的一位。;彼はスロッパ兄弟の中で最も若いが、彼らの中の誰よりも速い。;슬로퍼 형제 중 가장 어리지만, 그 누구보다도 유능합니다.;
description-playercharacter-slopperjohnson;;The grumpy hero of our story. Delivers parcels to the perimeter.;以脾气暴躁闻名。负责为周边地区运送包裹。;私たちの物語の暴走英雄。パッケージを周辺に配達します。;우리 이야기의 괴팍한 주인공. 경계 지대로 소포를 배달합니다.;
description-skill-beak;;Deals $1damage$ to an enemy.;对一名敌人造成$1damage$。;敵に $1damage$ を与える;적에게 $1damage$를 줍니다.;
description-skill-claw;;Deals $1damage$ to an enemy.;对一名敌人造成$1damage$。;敵に $1damage$ を与える;적에게 $1damage$를 줍니다.;
description-skill-croak;;Remove all $might$ to apply $gravrecoil$ to all modules on an enemy rack.;移除全部$might$来为敌方所有模块施加$gravrecoil$。;$might$ を消費して敵のラックの全てのモジュールに $gravrecoil$ を与える;모든 $might$을 제거해 적의 랙에 있는 모든 모듈에게 $gravrecoil$을 적용합니다.;
description-skill-damageinheightofpower;;Deals $damage$ in height of $might$;造成与$might$等值的$damage$。;$might$ に等しいダメージを与える;최대 $might$에 달하는 $damage$를 줍니다.;
description-skill-encrustmodule;;Deals $1damage$ and inflicts a module with $crust$.;造成$1damage$并对一个模块施放$crust$。;敵に $1damage$ を与え、敵のモジュールに $crust$ を与える;$1damage$를 주고 모듈에게 $crust$를 부여합니다.;
description-skill-enemyspawn-gravpolyp;;Summons up to two $b$Grav. Polyps$/b$;召唤两个$b$引力水螅$/b$。;最大2体の $b$重力ポリップ$/b$ を召喚する;$b$중력 용종$/b$을 최대 둘 소환합니다.;
description-skill-enemyspawn-protozoon;;If HP is even, it splits into two.;如果生命值为偶数，则一分为二。;HPが偶数の場合、2体に分裂する;체력이 짝수일 경우, 둘로 분열합니다.;
description-skill-enemyspawn-slime;;If $might$ is full, it removes all $might$ to duplicate.;如果$might$已满，则消耗全部$might$进行复制。;$might$ が満タンの場合、$might$ を消費して自身を複製する;$might$이 가득 찼을 경우, 모든 $might$을 제거해 분열합니다.;
description-skill-gravbite;;Inflicts $1damage$ to an enemy and applies $gravamplification$.;对一名敌人造成$1damage$并施加$gravamplification$。;敵に $1damage$ を与え、$gravamplification$ を付与する。;적에게 $1damage$를 부여하고, $gravamplification$을 적용합니다.;
description-skill-gravimplode;;Removes all $grav+$ from a target to deal that much $damage$.;移除目标全部$grav+$，造成等量$damage$。;敵の $grav+$ を消費して、その分の $damage$ を与える;대상의 모든 $grav+$를 제거해 그와 동일한 $damage$를 줍니다.;
description-skill-gravimplode-bossshroom;;Removes all $grav+$ from a target to deal that much $damage$.;移除目标全部$grav+$，造成等量$damage$。;敵の $grav+$ を消費して、その分の $damage$ を与える;대상의 모든 $grav+$를 제거해 그와 동일한 $damage$를 줍니다.;
description-skill-gravimplode-one;;Removes $grav+1$ on an enemy to inflict $1damage$.;移除敌人所受的$grav+1$，并造成$1damage$。;敵の $grav+1$ を消費して、$1damage$ を与える;적의 $grav+1$를 제거해 $1damage$를 줍니다.;
description-skill-gravimpulse;;Inflicts all combatants on the same time step with $grav+4$.;所有处于同一时间轴点的参战单位都要受到$grav+4$。;同じタイムステップにいる敵に $grav+4$ を与える;동일한 시간 단계에 위치한 모든 전투원에게 $grav+4$를 부여합니다.;
description-skill-gravpull;;Inflicts another combatant with $grav-1$;对另一参战单位施放$grav-1$。;他の敵に $grav-1$ を与える;다른 전투원에게 $grav-1$를 부여합니다.;
description-skill-gravpush-1;;Inflicts another combatant with $grav+1$.;对另一参战单位施放$grav+1$。;他の敵に $grav+1$ を与える;다른 전투원에게 $grav+1$를 부여합니다.;
description-skill-gravpush-2;;Inflicts another combatant with $grav+2$.;对另一参战单位施放$grav+2$。;他の敵に $grav+2$ を与える;다른 전투원에게 $grav+2$를 부여합니다.;
description-skill-gravpush-3;;Inflicts another combatant with $grav+3$;对另一参战单位施放$grav+3$。;他の敵に $grav+3$ を与える;다른 전투원에게 $grav+3$를 부여합니다.;
description-skill-gravspore-positive;;Inflicts all other combatants with $grav+1$;对所有其他参战单位施放$grav+1$。;他の敵に $grav+1$ を与える;다른 모든 전투원에게 $grav+1$를 부여합니다.;
description-skill-gravspore-positive-2;;Inflicts all other combatants with $grav+2$;对所有其他参战单位施放$grav+2$。;他の敵に $grav+2$ を与える;다른 모든 전투원에게 $grav+2$를 부여합니다.;
description-skill-gravspore-positive-bossshroom;;Inflicts all other combatants with $grav+2$ and itself with $grav-1$;对所有其他参战单位施放$grav+2$，并对自己施放$grav-1$。;他の敵に $grav+2$ を与え、自分に $grav-1$ を与える;다른 모든 전투원에게 $grav+2$를 부여하고 스스로에게 $grav-1$를 부여합니다.;
description-skill-gravspore-positive-bossshroom-tutorial;;Inflicts all other combatants with $grav+2$ and itself with $grav-3$;对所有其他参战单位施放$grav+2$，并对自己施放$grav-3$。;他の敵に $grav+2$ を与え、自分に $grav-3$ を与える;다른 모든 전투원에게 $grav+2$를 부여하고 스스로에게 $grav-3$를 부여합니다.;
description-skill-gravsting;;Deals $1damage$$br$and inflicts $grav+1$;造成$1damage$$br$并施放$grav+1$。;敵に $1damage$ を与え、$grav+1$ を与える;$1damage$를 주고$br$$grav+1$를 부여합니다.;
description-skill-gravsting-2;;Deals $1damage$$br$and inflicts $grav+2$;造成$1damage$$br$并施放$grav+2$。;敵に $1damage$ を与え、$grav+2$ を与える;$1damage$를 주고$br$$grav+2$를 부여합니다.;
description-skill-gravtransfer;;Removes $grav+1$ from a target and puts it onto another target.;将目标所受$grav+1$效果转移到另一目标上。;敵の $grav+1$ を消費して、他の敵に与える;대상에게서 $grav+1$를 제거하고 다른 대상에게 부여합니다.;
description-skill-leftclaw;;Deals $1damage$$br$and inflicts $grav+2$;造成$1damage$$br$并施放$grav+2$。;敵に $1damage$ を与え、$grav+2$ を与える;$1damage$를 주고$br$$grav+2$를 부여합니다.;
description-skill-lightningstrike;;Deals $b$$VALUE$$/b$ $damage$ to all combatants on the same time step.;对处在同一时间步的所有参战单位造成$b$$VALUE$$/b$$damage$。;同じタイムステップの敵に $b$$VALUE$$/b$ $damage$ を与える;동일한 시간 단계에 위치한 모든 전투원에게 $b$$VALUE$$/b$ $damage$를 줍니다.;
description-skill-modularrackfire;;Activates modules on the rack.;激活模架上的所有模块。;ラックのモジュールに電流を与える;해당 랙의 모듈을 활성화시킵니다.;
description-skill-modulegravrecoil-bosscrocodile;;Deals $1damage$ to all enemies and inflicts one module each with $gravrecoil$.;对所有敌人造成$1damage$，并且每有一个敌人，就对一个模块施放$gravrecoil$。;敵に $1damage$ を与え、モジュールに $gravrecoil$ を与える;모든 적에게 $1damage$를 주고, 각 모듈에 $gravrecoil$을 부여합니다.;
description-skill-modulegravrecoil-slime;;Deals $1damage$ to an enemy and inflicts one module with $gravrecoil$.;对一名敌人造成$1damage$，并对一个模块施放$gravrecoil$。;敵に $1damage$ を与え、モジュールに $gravrecoil$ を与える;적에게 $1damage$를 주고, 모듈 하나에 $gravrecoil$을 부여합니다.;
description-skill-moduleplasmacombustion;;Deals $1damage$ and inflicts a module with $plasmacombustion$.;造成$1damage$并对一个模块施放$plasmacombustion$。;モジュールに $plasmacombustion$ を与え、$1damage$ を与える;$1damage$를 주고 모듈에게 $plasmacombustion$를 부여합니다.;
description-skill-moduleselfencrusting-aoe;;Inflicts two modules with$br$$selfencrusting$.;对两个模块施放$br$$selfencrusting$。;敵の2つのモジュールに $selfencrusting$ を与える;두 모듈에게 $selfencrusting$를 부여합니다.;
description-skill-modulespawn-timebomb;;Places a $b$Time Bomb$/b$ module in one of your racks.;选择一个模架放置$b$定时炸弹$/b$。;ラックに $b$タイムボム$/b$ モジュールを置く;내 랙 중 하나에 $b$시한폭탄$/b$ 모듈을 배치합니다.;
description-skill-ondeath-gravspill;;Spreads its current $grav+$ over all enemies.;将当前所受$grav+$传播给所有敌人。;現在の $grav+$ を全ての敵に与える;현재 $grav+$를 모든 적에게 확산시킵니다.;
description-skill-ondeath-hurtcrabbody;;Deals $2damage$ to the body.;对躯干造成$2damage$。;機体に $2damage$ を与える;몸체에 $2damage$를 줍니다.;
description-skill-ondeath-vulnerability;;Applies $vulnerable$ to an enemy. It lasts for $4$ time steps.;对一名敌人施加$vulnerable$，持续$4$时间步长。;敵に $vulnerable$ を与える。$4$ ターン持続;적에게 $vulnerable$을 부여합니다. $4$ 시간 단계 동안 지속됩니다.;
description-skill-passive-powerraiseifcrustbroken;;Raises $might$ by $1$ whenever a $crust$ is broken.;$crust$破损时，提升$1$$might$。;$crust$ が破壊されるたびに、$might$ を $1$ 増加する;$crust$가 파괴될 때마다 $might$이 $1$ 상승합니다.;
description-skill-passive-powerraiseifdamaged;;Raises $might$ by $1$ whenever it receives $damage$.;受到$damage$时，提升$1$$might$。;$damage$ を受けるたびに、$might$ を $1$ 増加する;$damage$를 입을 때마다 $might$이 $1$ 상승합니다.;
description-skill-passive-powerraiseifdamaged-full;;Fills $might$ whenever it receives $damage$.;受到$damage$时，获得最大$might$。;$damage$ を受けるたびに、$might$ を $1$ 増加する;$damage$를 입을 때마다 $might$이 차오릅니다.;
description-skill-passive-powerraiseifgravinflicted;;Raises $might$ from inflictions of $grav+$ onto itself.;根据自身所受$grav+$提升$might$。;$grav+$ を自身に与えるたびに、$might$ を増加する;자신에게 $grav+$가 부여될 때마다, $might$이 $1$ 상승합니다.;
description-skill-passive-powerraiseifplasmagenerated;;Raises $might$ by $1$ whenever $plasma$ is created.;产生$plasma$时，提升$1$$might$。;$plasma$ が生成されるたびに、$might$ を $1$ 増加する;$plasma$가 생성될 때마다, $might$이 $1$ 상승합니다.;
description-skill-passive-powerraiseifturnorderchanged;;Raises $might$ by $1$ whenever the turn order is changed.;轮次发生改变时，提升$1$$might$。;ターン順が変更されるたびに、$might$ を $1$ 増加する;턴 순서가 변화할 때마다, $might$이 $1$ 상승합니다.;
description-skill-passive-powerraiseifturnorderchanged-full;;Fills $might$ whenever the turn order is changed.;轮次发生改变时，获得最大$might$。;ターン順が変更されるたびに、$might$ を $1$ 増加する;턴 순서가 변화할 때마다, $might$이 차오릅니다.;
description-skill-paw;;Deals $1damage$ to an enemy.;对一名敌人造成$1damage$。;敵に $1damage$ を与える;적에게 $1damage$를 줍니다.;
description-skill-paw-2;;Deals $2damage$ to an enemy.;对一名敌人造成$2damage$。;敵に $2damage$ を与える;적에게 $2damage$를 줍니다.;
description-skill-powertodamage;;Removes all $might$ to deal that much $damage$ to an enemy.;移除全部$might$，对一名敌人造成等量$damage$。;敵に $might$ を消費して、$damage$ を与える;대상의 모든 $might$을 제거해 그와 동일한 $damage$를 줍니다.;
description-skill-powertodamage-gravpolyp;;Removes all $might$ to deal that much $damage$ to an enemy.;移除全部$might$，对一名敌人造成等量$damage$。;敵に $might$ を消費して、$damage$ を与える;대상의 모든 $might$을 제거해 그와 동일한 $damage$를 줍니다.;
description-skill-rightclaw;;Deals $1damage$ and inflicts a module with $crust$.;造成$1damage$并对一个模块施放$crust$。;敵に $1damage$ を与え、敵のモジュールに $crust$ を与える;$1damage$를 주고 모듈에게 $crust$를 부여합니다.;
description-skill-shleck-frog;;Deals $1damage$ to an enemy.$br$May remove $grav+1$ from the target to raise $might$ by $1$.;对一名敌人造成$1damage$。$br$有概率移除目标$grav+1$以提升$1$$might$。;敵に $1damage$ を与える。$br$ターゲットの $grav+1$ を移除して $might$ を $1$ 増加させることができる。;적에게 $1damage$를 줍니다.$br$대상의 $grav+1$를 제거해 $might$을 $1$ 상승시킬 수 있습니다.;
description-skill-shleck-protozoon;;Deals $1damage$ to an enemy.$br$May remove $grav+1$ from the target to heal itself by $1$.;对一名敌人造成$1damage$。$br$有概率移除目标$grav+1$以治疗自身$1$。;敵に $1damage$ を与える。$br$ターゲットの $grav+1$ を移除して自身を回復することができる。;적에게 $1damage$를 줍니다.$br$대상의 $grav+1$를 제거해 자신의 체력을 $1$ 치유할 수 있습니다.;
description-skill-stormstrike;;Deals $b$$VALUE$$/b$ $damage$ to all player characters on that time step.;对当前时间步上的所有玩家角色造成$b$$VALUE$$/b$$damage$。;同じタイムステップのプレイヤーに $b$$VALUE$$/b$ $damage$ を与える;해당 시간 단계에 위치한 모든 플레이어 캐릭터에게 $b$$VALUE$$/b$ $damage$를 줍니다.;
description-status-gravamplification;;Incoming $grav$ is amplified by $1$;被施加的$grav$增加$1$。;受ける$grav$が$1$増加;획득하는 $grav$가 $1$ 증폭됩니다.;
description-status-gravimmunity;;Cannot receive $grav$;无法受到$grav$。;$grav$を受け取ることができません;$grav$를 받을 수 없습니다;
description-status-jackcolormutation;;Changes color at the end of owner's turn;拥有者回合结束后改变颜色。;ラックに置かれた場合、オーナーのターン終了時に色を変更します;소유자의 턴 종료 시 색상이 변화합니다;
description-status-moduleboost;;Adds $1$ $energy$ to the incoming current until the end of turn;为输入能量流增加$1$$energy$直到回合结束。;$energy$を$1$追加、ターン終了まで;다음 턴 종료 전까지 획득하는 전류에 $1$ $energy$를 추가합니다;
description-status-moduleconstructed;;Cannot be sold;无法出售;売却できません;판매할 수 없습니다;
description-status-modulecooldown;;Can't be activated this turn;本回合无法被激活;このターンにアクティブ化できません;이번 턴에는 활성화시킬 수 없습니다;
description-status-modulecracked;;Will be destroyed after activation;激活后销毁;活性化後に破壊される;활성화 이후에 파괴됩니다;
description-status-modulecracked-discharge;;Will be destroyed after discharge;释能后销毁;放電後に破壊される;방전 이후에 파괴됩니다;
description-status-modulecracked-eob;;Destroyed after additional activation;额外激活后销毁;追加の活性化後に破壊される;추가로 활성화된 이후에 파괴됩니다;
description-status-modulecracked-eob-discharge;;Destroyed after additional discharge;额外释能后销毁;追加の放電後に破壊される;추가로 방전된 이후에 파괴됩니다;
description-status-modulecracked-eot;;Activation this turn will destroy the module;本回合激活模块将销毁;このターンの活性化はモジュールを破壊します;이번 턴에 활성화 시 해당 모듈이 파괴됩니다;
description-status-modulecracked-eot-discharge;;Discharge this turn will destroy the module;本回合释能模块将销毁;このターンの放電はモジュールを破壊します;이번 턴에 방전 시 해당 모듈이 파괴됩니다;
description-status-modulecrust;;Prevents module activation. First incoming $energy$ will permanently break the crust.;阻止模块激活。首次传入的$energy$将永久性破坏晶壳。;モジュールはアクティブ化できません。$br$最初の受けるエネルギーは外殻を破壊します;모듈이 활성화될 수 없습니다. 처음 $energy$를 획득 시 크러스트가 영구적으로 파괴됩니다.;
description-status-modulecrust-discharge;;Prevents module discharge.$br$First triggering will break the crust;阻止模块释能。$br$首次触发可以破坏晶壳。;モジュールは放電できません。$br$最初のトリガーは外殻を破壊します;모듈이 방전될 수 없습니다.$br$처음 발동 시 크러스트가 파괴됩니다;
description-status-modulefire;;Activate this turn to extinguish, or it will deal $1damage$ to the owner after their turn;本回合激活可熄灭，否则将在回合后对所有拥有者造成$1damage$。;このターンにアクティブ化すると消火するか、ターン終了時にオーナーに$1damage$を与えます;이번 턴에 활성화시켜 불을 끌 수 있으며, 끄지 못하면 턴 종료 시 소유자에게 $1damage$를 줍니다.;
description-status-modulegravrecoil;;Activation inflicts the owner with $grav+2$;激活后对拥有者施放$grav+2$;アクティブ化はオーナーに $grav+2$を与えます;활성화 시 소유자에게 $grav+2$를 부여합니다;
description-status-modulegravrecoil-eot;;Activation this turn inflicts the owner$br$with $grav+2$;本回合激活后对拥有者$br$施放$grav+2$;このターンにアクティブ化はオーナーに $grav+2$を与えます;이번 턴에 활성화 시,$br$소유자에게 $grav+2$를 부여합니다.;
description-status-modulegravvacuum;;Activation applies $grav-1$ to the owner;激活后对拥有者施加$grav-1$;アクティブ化はオーナーに $grav-1$を与えます;활성화 시 소유자에게 $grav-1$를 적용합니다;
description-status-modulelock;;Cannot be taken from rack;无法取下;ラックから取り外せません;랙에서 제거할 수 없습니다;
description-status-modulelock-eob;;Can only be moved outside of combat;仅非战斗时间可移动;戦闘外でのみ移動可能;전투 중이 아닐 때만 이동시킬 수 있습니다;
description-status-modulelock-eot;;Locked to rack until end of turn;本回合无法移动;ターン終了までラックに固定;턴 종료 시까지 랙에 고정됨;
description-status-modulelock-nextturn;;Locked to rack until next turn;下回合前无法移动;次のターンまでラックに固定;다음 턴까지 랙에 고정됨;
description-status-modulelock-startingmodule;;Cannot be taken from rack;无法取下;ラックから取り外せません;랙에서 제거할 수 없습니다;
description-status-modulemalfunctioning;;When activated, receives $outoforder$ until the end of battle.;激活后变为$outoforder$，直到战斗结束。;アクティブ化すると、戦闘終了まで$outoforder$を受け取ります。;활성화 시, 전투 종료까지 $outoforder$ 상태가 됩니다.;
description-status-modulemalfunctioning-discharge;;When discharged, receives $outoforder$ until the end of battle.;释能后变为$outoforder$，直到战斗结束。;放電すると、戦闘終了まで$outoforder$を受け取ります。;방전 시, 전투 종료까지 $outoforder$ 상태가 됩니다.;
description-status-modulemalfunctioning-discharge-safeguarded;;$CHANCETOBREAK$% chance to receive $outoforder$ until the end of battle when discharged.;释能后有$CHANCETOBREAK$几率变为$outoforder$，直到战斗结束。;放電すると、戦闘終了まで$outoforder$を受け取ります。;$CHANCETOBREAK$%의 확률로, 방전 시 전투 종료까지 $outoforder$ 상태가 됩니다.;
description-status-modulemalfunctioning-safeguarded;;$CHANCETOBREAK$% chance to receive $outoforder$ until the end of battle when activated.;激活后有$CHANCETOBREAK$几率获得$outoforder$，直到战斗结束。;アクティブ化すると、戦闘終了まで$outoforder$を受け取ります。;$CHANCETOBREAK$%의 확률로, 활성화 시 전투 종료까지 $outoforder$ 상태가 됩니다.;
description-status-modulemodificationmutation;;Throughput changes at the end of owner's turn;拥有者轮次结束后产能值发生改变;ラックに置かれた場合、オーナーのターン終了時に特性を変更します;소유자의 턴 종료 시 처리량이 변화합니다;
description-status-moduleoutoforder;;Cannot be activated anymore in this battle;本次战斗无法再次激活;この戦闘ではもうアクティブ化できません;이번 전투 동안에는 더 이상 활성화할 수 없습니다.;
description-status-moduleoverload;;When activated, receives $cooldown$$br$for one turn;激活后，$cooldown$$br$一回合;アクティブ化すると、1ターンに$cooldown$を受け取ります;활성화 시,$br$한 턴 동안 $cooldown$ 상태가 됩니다.;
description-status-moduleoverload-discharge;;When discharged, receives $cooldown$$br$for one turn;释能后，$cooldown$$br$一回合;放電すると、1ターンに$cooldown$を受け取ります;방전 시,$br$한 턴 동안 $cooldown$ 상태가 됩니다.;
description-status-moduleoverload-eot;;Activation this turn will lead to $cooldown$;本回合激活会进入$cooldown$;このターンにアクティブ化は $cooldown$を引き起こします;이번 턴에 활성화 시 $cooldown$ 상태가 됩니다.;
description-status-moduleoverload-eot-discharge;;Discharge this turn will lead to $cooldown$;本回合释能会进入$cooldown$;このターンに放電は $cooldown$を引き起こします;이번 턴에 방전 시 $cooldown$ 상태가 됩니다.;
description-status-moduleplasmacombustion;;Activation uses up $1plasma$;激活会消耗$1plasma$;アクティブ化は $1plasma$を消費します;활성화 시 $1plasma$를 소모합니다;
description-status-moduleplasmacombustion-eot;;Activation this turn uses up $1plasma$;本回合激活会消耗$1plasma$;このターンにアクティブ化は $1plasma$を消費します;이번 턴에 활성화 시 $1plasma$를 소모합니다;
description-status-modulepollution;;Activation deals $1damage$$br$to the owner;激活会对拥有者造成$1damage$$br$;アクティブ化はオーナーに$1damage$を与えます;활성화 시$br$소유자에게 $1damage$를 줍니다;
description-status-modulepollution-eot;;Activation this turn deals $1damage$$br$to the owner;本回合激活会对拥有者造成$1damage$$br$;このターンにアクティブ化はオーナーに$1damage$を与えます;이번 턴에 활성화 시$br$소유자에게 $1damage$를 줍니다;
description-status-modulesalvaged;;Salvaged from a previous run.$br$Cannot be duplicated.;继承自上次游戏。$br$无法复制。;前のミッションから救出された。$br$複製できません。;이전 모험에서 회수한 모듈입니다.$br$복제할 수 없습니다.;
